2026-01-23 23:20:16,024 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769210415445', 'order_id': '709719924423000604'}
2026-01-23 23:20:16,591 | INFO | OPEN cmt_solusdt TF=5m size=7.5 order_id=709719924423000604 candle_idx=40
2026-01-23 23:20:19,366 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-23 23:21:19,479 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-23 23:22:19,661 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-23 23:23:19,836 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-23 23:24:19,943 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.0% | held_candles=0
2026-01-23 23:25:20,081 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-23 23:26:20,239 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-23 23:27:20,415 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-23 23:28:20,540 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-23 23:29:20,659 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.04% | held_candles=1
2026-01-23 23:30:20,797 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=2
2026-01-23 23:31:20,900 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=2
2026-01-23 23:32:21,036 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=2
2026-01-23 23:33:21,192 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=2
2026-01-23 23:34:21,362 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.07% | held_candles=2
2026-01-23 23:35:21,473 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=3
2026-01-23 23:36:21,638 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=3
2026-01-23 23:37:21,768 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=3
2026-01-23 23:38:21,866 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=3
2026-01-23 23:39:22,017 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.12% | held_candles=3
2026-01-23 23:40:22,162 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=4
2026-01-23 23:41:22,307 | INFO | [FLOAT-5m] cmt_solusdt | pnl=0.03% | held_candles=4
