2026-01-26 19:25:08,625 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769455508073', 'order_id': '710747917412991516'}
2026-01-26 19:25:09,195 | INFO | OPEN cmt_dogeusdt TF=5m size=7800.0 order_id=710747917412991516 candle_idx=20
2026-01-26 19:25:51,168 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-26 19:26:51,286 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-26 19:27:51,452 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-26 19:28:51,582 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-26 19:29:51,791 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=1
2026-01-26 19:30:51,857 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=2
2026-01-26 19:31:51,956 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=2
2026-01-26 19:32:52,089 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=2
2026-01-26 19:33:52,207 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=2
2026-01-26 19:34:52,377 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=2
2026-01-26 19:35:52,537 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-26 19:36:52,658 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-26 19:37:52,822 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-26 19:38:53,003 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-26 19:39:53,157 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-26 19:40:53,272 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=4
2026-01-26 19:41:53,402 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=4
2026-01-26 19:42:53,545 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=4
2026-01-26 19:43:53,699 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=4
2026-01-26 19:44:53,818 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=4
2026-01-26 19:45:53,910 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=5
2026-01-26 19:46:54,046 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=5
2026-01-26 19:47:54,205 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=5
2026-01-26 19:48:54,321 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=5
2026-01-26 19:49:54,464 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.05% | held_candles=5
2026-01-26 19:50:54,570 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=6
2026-01-26 19:51:54,691 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=6
2026-01-26 19:52:54,807 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=6
2026-01-26 19:53:54,951 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=6
2026-01-26 19:54:55,031 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=6
2026-01-26 19:55:55,212 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=7
2026-01-26 19:56:55,372 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=7
2026-01-26 19:57:55,509 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=7
2026-01-26 19:58:55,654 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=7
2026-01-26 19:59:55,760 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=7
2026-01-26 20:00:55,855 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=8
2026-01-26 20:01:56,007 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=8
2026-01-26 20:02:56,128 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=8
2026-01-26 20:03:56,246 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=8
2026-01-26 20:04:56,362 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=8
2026-01-26 20:05:56,490 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=9
2026-01-26 20:06:56,618 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=9
2026-01-26 20:07:56,761 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=9
2026-01-26 20:08:56,895 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=9
2026-01-26 20:09:56,936 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=9
2026-01-26 20:10:57,037 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=10
2026-01-26 20:11:57,190 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=10
2026-01-26 20:12:57,355 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=10
2026-01-26 20:13:57,495 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=10
2026-01-26 20:14:57,658 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=10
2026-01-26 20:15:57,813 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=11
2026-01-26 20:16:57,985 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=11
2026-01-26 20:17:58,149 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=11
2026-01-26 20:18:58,263 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=11
2026-01-26 20:19:58,411 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.29% | held_candles=11
2026-01-26 20:20:02,304 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769458801474', 'order_id': '710761731973972508'}
