2026-01-27 09:54:07,926 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769507647382', 'order_id': '710966605399458332'}
2026-01-27 09:54:07,927 | ERROR | AI_LOG_FAILED: upload_ai_log() got an unexpected keyword argument 'orderId'
2026-01-27 09:54:07,927 | ERROR | AI_LOG_FAILED: upload_ai_log() got an unexpected keyword argument 'orderId'
2026-01-27 09:54:57,928 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-27 09:55:57,945 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=1
2026-01-27 09:56:58,009 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.03% | held_candles=1
2026-01-27 09:57:58,090 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.03% | held_candles=1
2026-01-27 09:58:58,245 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=1
2026-01-27 09:59:58,358 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.04% | held_candles=1
2026-01-27 10:00:58,416 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=2
2026-01-27 10:01:58,453 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=2
2026-01-27 10:02:58,554 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=2
2026-01-27 10:03:58,614 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=2
2026-01-27 10:04:58,736 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=2
2026-01-27 10:05:58,895 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=3
2026-01-27 10:06:59,033 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=3
2026-01-27 10:07:59,187 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=3
2026-01-27 10:08:59,227 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=3
2026-01-27 10:09:59,286 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=3
2026-01-27 10:10:59,363 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=4
2026-01-27 10:11:59,387 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=4
2026-01-27 10:12:59,502 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=4
2026-01-27 10:13:59,603 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=4
2026-01-27 10:14:59,714 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=4
2026-01-27 10:15:59,793 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=5
2026-01-27 10:16:59,874 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=5
2026-01-27 10:17:59,943 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=5
2026-01-27 10:19:00,063 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.05% | held_candles=5
2026-01-27 10:20:00,226 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=5
2026-01-27 10:21:00,341 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=6
2026-01-27 10:22:00,475 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.02% | held_candles=6
2026-01-27 10:23:00,588 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.06% | held_candles=6
2026-01-27 10:24:00,686 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=6
2026-01-27 10:25:00,760 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=6
2026-01-27 10:26:00,870 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.01% | held_candles=7
2026-01-27 10:27:00,878 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=7
2026-01-27 10:28:00,947 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=7
2026-01-27 10:29:01,067 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.04% | held_candles=7
2026-01-27 10:30:01,102 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=8
2026-01-27 10:31:01,199 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=8
2026-01-27 10:32:01,320 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=8
2026-01-27 10:33:01,411 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=8
2026-01-27 10:34:01,470 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=8
2026-01-27 10:35:01,556 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=9
2026-01-27 10:36:01,700 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=9
2026-01-27 10:37:01,852 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=9
2026-01-27 10:38:01,971 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=9
2026-01-27 10:39:02,067 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=9
2026-01-27 10:40:02,166 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=10
2026-01-27 10:41:02,223 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=10
