2026-01-27 13:19:12,998 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1769519952435', 'order_id': '711018216679277084'}
2026-01-27 13:19:14,209 | ERROR | error from callback <bound method WS.on_message of <core.ws_engine.WS object at 0x76ed10f616d0>>: datetime.utcnow() takes no arguments (1 given)
2026-01-27 13:19:14,209 | ERROR | WS ERROR -> datetime.utcnow() takes no arguments (1 given)
2026-01-27 13:19:52,577 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-01-27 13:20:52,661 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=1
2026-01-27 13:21:52,823 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=1
2026-01-27 13:22:53,005 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=1
2026-01-27 13:23:53,174 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.15% | held_candles=1
2026-01-27 13:24:53,357 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=1
2026-01-27 13:25:53,549 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=2
2026-01-27 13:26:53,702 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=2
2026-01-27 13:27:53,898 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=2
2026-01-27 13:28:54,037 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.14% | held_candles=2
2026-01-27 13:29:54,267 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=2
2026-01-27 13:30:54,422 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=3
2026-01-27 13:31:54,514 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.19% | held_candles=3
2026-01-27 13:32:54,667 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.16% | held_candles=3
2026-01-27 13:33:54,786 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=3
2026-01-27 13:34:54,946 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.11% | held_candles=3
2026-01-27 13:35:55,084 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=4
2026-01-27 13:36:55,191 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.02% | held_candles=4
2026-01-27 13:37:55,295 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=4
2026-01-27 13:38:55,466 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.09% | held_candles=4
2026-01-27 13:39:55,617 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.01% | held_candles=4
2026-01-27 13:40:55,764 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=5
2026-01-27 13:41:55,871 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=5
2026-01-27 13:42:55,906 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=5
2026-01-27 13:43:56,042 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=5
2026-01-27 13:44:56,133 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.06% | held_candles=5
2026-01-27 13:45:56,203 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.07% | held_candles=6
2026-01-27 13:46:56,317 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.12% | held_candles=6
2026-01-27 13:47:56,479 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.13% | held_candles=6
2026-01-27 13:48:56,625 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.2% | held_candles=6
2026-01-27 13:49:01,280 | INFO | CLOSE LONG RESPONSE -> {'client_oid': '1769521740706', 'order_id': '711025717151793692'}
