2026-02-02 03:33:01,608 | INFO | PLACE LONG RESPONSE -> {'client_oid': '1770003181057', 'order_id': '713045024119456284'}
2026-02-02 03:33:40,667 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.0% | held_candles=0
2026-02-02 03:34:40,901 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.85% | held_candles=0
2026-02-02 03:35:41,134 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.17% | held_candles=1
2026-02-02 03:36:41,331 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.1% | held_candles=1
2026-02-02 03:37:41,497 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.09% | held_candles=1
2026-02-02 03:38:41,662 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.08% | held_candles=1
2026-02-02 03:39:41,836 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.26% | held_candles=1
2026-02-02 03:40:41,992 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.27% | held_candles=2
2026-02-02 03:41:42,127 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=-0.03% | held_candles=2
2026-02-02 03:42:42,333 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=2
2026-02-02 03:43:42,502 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.07% | held_candles=2
2026-02-02 03:44:42,623 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.23% | held_candles=2
2026-02-02 03:45:42,754 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.14% | held_candles=3
2026-02-02 03:46:42,920 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.34% | held_candles=3
2026-02-02 03:47:43,066 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=0.49% | held_candles=3
2026-02-02 03:48:43,194 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.24% | held_candles=3
2026-02-02 03:49:43,356 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.57% | held_candles=3
2026-02-02 03:50:43,535 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.88% | held_candles=4
2026-02-02 03:51:43,703 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.17% | held_candles=4
2026-02-02 03:52:43,878 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.27% | held_candles=4
2026-02-02 03:53:44,064 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.61% | held_candles=4
2026-02-02 03:54:44,224 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.73% | held_candles=4
2026-02-02 03:55:44,346 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.67% | held_candles=5
2026-02-02 03:56:44,565 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.94% | held_candles=5
2026-02-02 03:57:44,754 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.01% | held_candles=5
2026-02-02 03:58:44,964 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.84% | held_candles=5
2026-02-02 03:59:45,158 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.1% | held_candles=5
2026-02-02 04:00:45,263 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=3.18% | held_candles=6
2026-02-02 04:01:45,474 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.93% | held_candles=6
2026-02-02 04:02:45,607 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.77% | held_candles=6
2026-02-02 04:03:45,768 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.75% | held_candles=6
2026-02-02 04:04:45,938 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.8% | held_candles=6
2026-02-02 04:05:46,096 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.24% | held_candles=7
2026-02-02 04:06:46,282 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.29% | held_candles=7
2026-02-02 04:07:46,518 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=2.16% | held_candles=7
2026-02-02 04:08:46,688 | INFO | [FLOAT-5m] cmt_dogeusdt | pnl=1.97% | held_candles=7
